x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.425 24 24 24
1 3 6 0. 0. 0. 1. 1. 3. 32. 9. 4.498 65 32 63
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.363 20 20 18
1 3 6 1. 1. 1. 1. 1. 3. 22. 10. 4.419 34 29 30
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.419 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 20 20 19
1 3 6 0. 0. 0. 1. 0. 3. 25. 0. 4.531 56 25 48
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.504 19 19 15
1 3 6 0. 0. 0. 1. 1. 3. 13. 13. 4.57 18 18 18
1 3 6 0.405 0.405 0.405 0. 0. 3. 0. 0. 4.726 31 31 31
1 3 6 0. 0. 0. 1. 0. 3. 44. 0. 4.415 65 38 63
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.557 49 43 49
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.58 43 27 37
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.653 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.488 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 21. 9. 4.392 59 21 57
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.613 21 21 21
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.422 18 18 16
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.564 24 24 24
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.547 21 21 21
1 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.683 31 31 31
1 3 6 1. 1. 1. 1. 1. 3. 25. 10. 4.481 75 25 75
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.438 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 40. 12. 4.498 62 40 54
1 3 6 2. 2. 2. 0. 0. 3. 0. 0. 4.422 19 19 15
1 3 6 0. 0. 0. 1. 1. 3. 31. 13. 4.412 66 25 66
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.422 17 17 15
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 17 17 15
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.372 17 17 15
1 3 6 0. 0. 0. 1. 0. 3. 31. 0. 4.488 66 25 66
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.564 19 19 15
1 3 6 1. 0.5 1. 1. 0.75 3. 46. 25.666 4.564 74 34 72
1 3 6 0. 0. 0. 1. 1. 3. 30. 15. 4.547 40 29 36
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.501 21 21 21
1 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.448 31 31 31
1 3 6 0.514 0.514 0.514 0. 0. 3. 0. 0. 4.488 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.303 22 22 22
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.422 49 43 49
1 3 6 0. 0. 0. 1. 1. 3. 25. 10. 4.511 59 25 57
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.405 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.567 41 41 37
1 3 6 1. 1. 1. 1. 1. 3. 22. 12. 4.399 40 29 36
