x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 1. 1. 3. 16.666 16.666 4.587 0 0 0
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.501 31 31 31
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.488 72 45 72
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.607 31 31 31
1 3 6 2. 2. 2. 0. 0. 3. 0. 0. 4.468 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 13.5 13.5 4.471 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.389 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.488 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.587 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.495 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.518 0 0 0
1 3 6 0.465 0.465 0.465 0. 0. 3. 0. 0. 4.382 28 28 28
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.646 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 17. 8.5 4.452 63 25 57
1 3 6 0.554 0.554 0.554 0. 0. 3. 0. 0. 4.372 31 31 31
1 3 6 2. 2. 2. 1. 1. 3. 13. 13. 4.508 18 18 18
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.544 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.561 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.343 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.475 16 16 12
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.504 0 0 0
1 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.495 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.521 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.399 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.613 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.57 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.557 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.537 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.495 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.392 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.485 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.653 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.478 69 45 63
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.521 24 24 24
1 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.534 31 31 31
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.425 24 24 24
